Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210683,2021,1/4/2022,Bridgeport,64 WOODMONT AVE,"143,530.00","320,000.00",0.4485,Residential,Single Family,,,,POINT (-73.214036968 41.215101015)
210117,2021,1/4/2022,Killingly,365 CRANBERRY BOG RD,"38,080.00","140,000.00",0.272,Vacant Land,,07 - Change in Property,,,POINT (-71.825059974 41.805256988)
210115,2021,1/4/2022,Killingly,17 FALLBROOK RD,"155,260.00","311,000.00",0.4992,Residential,Single Family,,,,POINT (-71.876388989 41.787472014)
210695,2021,1/4/2022,Bridgeport,129 VALLEY AVE,"145,830.00","280,000.00",0.5208,Residential,Single Family,,,,POINT (-73.203148038 41.212887983)
210682,2021,1/4/2022,Bridgeport,231 WEST AVE,"198,850.00","330,000.00",0.6025,Residential,Two Family,,,,POINT (-73.195185984 41.172509003)
210265,2021,1/4/2022,Middletown,138 CARRIAGE CROSSING,"65,820.00","115,000.00",0.5723,Residential,Condo,,,,POINT (-72.708837308 41.587972358)
210189,2021,1/4/2022,Branford,35 WEST VILLAGE CT,"158,900.00","340,000.00",0.4673,Residential,Condo,,,,POINT (-72.819285957 41.298237554)
210691,2021,1/4/2022,Bridgeport,3200 MADISON AVE UNIT D-3,"100,880.00","229,000.00",0.4405,Residential,Single Family,,,,POINT (-73.22635099 41.217538012)
2100037,2021,1/4/2022,Marlborough,112 STAGE HARBOR RD,"170,240.00","275,000.00",0.619,Residential,Single Family,,,,POINT (-72.476778008 41.656402015)
210473,2021,1/4/2022,Danbury,106 CAROL ST,"121,200.00","250,500.00",0.4838,Residential,Single Family,,H22087,,POINT (-73.457450035 41.352508991)
210022,2021,1/4/2022,Bethlehem,22 EAST ST,"310,100.00","362,500.00",0.8554,Commercial,,10 - A Will,STORE/SINGLE FAM,,POINT (-73.205711978 41.638116013)
210074,2021,1/4/2022,Coventry,43-1/225 AVERY SHORES,"118,500.00","162,500.00",0.7292,Vacant Land,,,,,POINT (-72.330800962 41.768956013)
21144,2021,1/4/2022,Guilford,8 COPPER HILL DR,"116,100.00","210,000.00",0.5528,Residential,Condo,,,,POINT (-72.701845017 41.301424015)
210687,2021,1/4/2022,Bridgeport,115 BEAUVUE TER,"186,980.00","347,500.00",0.538,Residential,Single Family,,,,POINT (-73.220659007 41.216611015)
210027,2021,1/4/2022,Bolton,93 BIRCH MOUNTAIN RD,"264,700.00","397,500.00",0.6659,Residential,Single Family,,,,POINT (-72.457921995 41.754321)
21065,2021,1/4/2022,Burlington,229 STONE RD,"229,040.00","450,000.00",0.5089,Residential,Condo,,,,POINT (-72.939086991 41.747001001)
210189,2021,1/4/2022,Glastonbury,150 LONG HILL DR,"180,400.00","330,000.00",0.5466,Residential,Single Family,,,,POINT (-72.597008027 41.728911009)
210103,2021,1/4/2022,Berlin,186 WILDERMERE RD,"283,900.00","342,065.00",0.829959218,Residential,Single Family,14 - Foreclosure,,SALE OF A FORECLOSED PROPERTY,POINT (-72.763218988 41.610673997)
210385,2021,1/4/2022,New Britain,130B-202 CLINIC DR,"28,490.00","15,000.00",1.8993,Residential,Condo,01 - Family,,,POINT (-72.783372017 41.648807005)
21018,2021,1/4/2022,Barkhamsted,25 KELSEY COURT,"39,960.00","35,000.00",1.141714286,Vacant Land,,25 - Other,"2.11 AC, purchased as part of agreement for several lots, each valued the same per agreement",,POINT (-72.904627481 41.950177451)
210186,2021,1/4/2022,Branford,123 FOXBRIDGE VILLAGE,"110,300.00","225,000.00",0.4902,Residential,Condo,,,,POINT (-72.827318 41.307840991)
210684,2021,1/4/2022,Bridgeport,113 EVERS ST,"130,980.00","330,000.00",0.3969,Residential,Single Family,,,,POINT (-73.174691979 41.215801994)
210389,2021,1/4/2022,New Britain,38 NYE RD,"106,050.00","280,000.00",0.3787,Residential,Single Family,,,,POINT (-72.777257 41.704371982)
210096,2021,1/4/2022,Clinton,38 BRICKYARD RD,"153,800.00","297,000.00",0.5178,Residential,Single Family,,,,POINT (-72.516395996 41.306803018)
210471,2021,1/4/2022,Danbury,23 VIRGINIA AV,"151,200.00","360,000.00",0.42,Residential,Single Family,,J11240,,POINT (-73.441608992 41.409988017)
2100113,2021,1/4/2022,Madison,8 HAMILTON DR,"376,400.00","735,000.00",0.512108844,Residential,Single Family,,,,POINT (-72.593565999 41.27275799)
210019,2021,1/4/2022,Hartland,37 FYLER RD,"158,460.00","309,900.00",0.5113,Residential,Single Family,,,,POINT (-72.88357197 42.029963993)
210077,2021,1/4/2022,Coventry,51 WINDY HILL RD,"63,100.00","603,500.00",0.104556752,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.334078035 41.80901799)
210064,2021,1/4/2022,Canton,105 ATWATER ROAD,"391,100.00","710,000.00",0.5508,Residential,Single Family,,,,POINT (-72.908403023 41.812704015)
210011,2021,1/4/2022,Lyme,116-8 BLOOD STREET,"153,200.00","90,322.00",1.6961,Residential,Single Family,01 - Family,,,POINT (-72.316275962 41.372784982)
210685,2021,1/4/2022,Bridgeport,390 CHARLES ST UNIT #318,"68,060.00","127,500.00",0.5338,Residential,Condo,,,,POINT (-73.203199 41.194069018)
21066,2021,1/4/2022,Burlington,183 PUNCH BROOK RD,"182,630.00","375,000.00",0.487,Residential,Single Family,,,,POINT (-72.942384012 41.762278989)
210681,2021,1/4/2022,Bridgeport,200 CALHOUN AVE,"139,636.00","125,000.00",1.117,Residential,Three Family,25 - Other,DISTRESS SALE,,POINT (-73.198597741 41.183484118)
210470,2021,1/4/2022,Danbury,6 OLIVE ST,"135,900.00","300,000.00",0.453,Residential,Single Family,,K12038,,POINT (-73.431756987 41.40476802)
210080,2021,1/4/2022,East Windsor,294-20 SOUTH MAIN ST,"9,360.00","16,000.00",0.585,Residential,Single Family,01 - Family,,,POINT (-72.607017026 41.869124995)
210036,2021,1/4/2022,East Granby,3 GRANDVIEW AVENUE,"151,600.00","245,000.00",0.61877551,Residential,Single Family,,TWO SINGLE FAMILY DWELLINGS ON ONE PARCEL,,POINT (-72.771462003 41.935455018)
210302,2021,1/4/2022,Fairfield,74 SPINNING WHEEL ROAD,"441,490.00","850,000.00",0.5194,Residential,Single Family,,,,POINT (-73.269374041 41.13420798)
210060,2021,1/4/2022,Brooklyn,63 DAY ST,"155,900.00","355,000.00",0.4391,Residential,Single Family,,,,POINT (-71.902180022 41.803627001)
210123,2021,1/4/2022,New Canaan,945 SOUTH AVE,"720,440.00","1,000,000.00",0.7204,Residential,Single Family,,,,POINT (-73.487579959 41.116143009)
21109,2021,1/4/2022,Darien,40 PEAR TREE POINT ROAD,"2,347,870.00","3,600,000.00",0.6521,Residential,Single Family,,,,POINT (-73.480195 41.052709981)
210389,2021,1/4/2022,Bristol,30 WINSTON COURT,"143,640.00","298,000.00",0.482,Residential,Single Family,,,,POINT (-72.935202985 41.709607989)
210475,2021,1/4/2022,Danbury,65 SHERIDAN ST #10,"112,300.00","260,000.00",0.4319,Residential,Condo,,J14201-10,,POINT (-73.441791969 41.39482901)
210188,2021,1/4/2022,Glastonbury,61 WOODBRIDGE RD,"136,400.00","385,000.00",0.3542,Residential,Single Family,,,,POINT (-72.604431041 41.692797999)
21050,2021,1/4/2022,Haddam,86 ARKAY DRIVE,"268,710.00","435,000.00",0.617724138,Residential,Single Family,,,,POINT (-72.585873004 41.463793005)
210128,2021,1/4/2022,Ledyard,73 WENDELL COMRIE RD,"146,790.00","311,500.00",0.4712,Residential,Single Family,,,,POINT (-71.972426992 41.411373001)
210097,2021,1/4/2022,Clinton,9 PONDVIEW LN,"358,800.00","460,000.00",0.78,Residential,Condo,01 - Family,,,POINT (-72.70054134 41.347102243)
210390,2021,1/4/2022,Bristol,36 CURTISS AVE,"96,880.00","250,000.00",0.3875,Residential,Single Family,,,,POINT (-72.905656022 41.675383002)
210388,2021,1/4/2022,New Britain,12 BENSON ST,"105,140.00","117,000.00",0.8986,Residential,Two Family,01 - Family,,,POINT (-72.75612597 41.653454016)
210015,2021,1/4/2022,Morris,41 PALMER RD,"247,070.00","300,000.00",0.8235,Residential,Single Family,,,,POINT (-73.23065099 41.69506501)
21017,2021,1/4/2022,Barkhamsted,88 GAVITT RD,"53,440.00","35,000.00",1.526857143,Vacant Land,,25 - Other,"6.92 AC rear lot, purchased as part of agreement for several lots, each valued the same per agreemen",,POINT (-72.904913264 41.944833978)
210690,2021,1/4/2022,Bridgeport,775 RYON ST,"147,270.00","380,000.00",0.3875,Residential,Single Family,,,,POINT (-73.195943038 41.216134001)
210123,2021,1/4/2022,Bloomfield,711 COTTAGE GROVE ROAD,"865,550.00","2,957,100.00",0.2927,Commercial,,,,,POINT (-72.734398987 41.816446996)
21133,2021,1/4/2022,Bethel,1013 LEXINGTON BLVD,"132,160.00","314,761.00",0.4198,Residential,Condo,,,,POINT (-73.408540037 41.392132007)
21514,2021,1/4/2022,Orange,DIANA ST,"2,000.00","8,997.00",0.2222,Vacant Land,,28 - Use Assessment,,,POINT (-73.002881955 41.273635005)
210695,2021,1/4/2022,Waterbury,1568 MERIDEN RD #2I &8F,"56,760.00","150,000.00",0.3784,Residential,Condo,25 - Other,INCLDS 2 CONDS,,POINT (-72.965999019 41.553886017)
210259,2021,1/4/2022,Norwich,1 NEMCZUK DR,"100,700.00","224,000.00",0.4495,Residential,Single Family,,,,POINT (-72.058972992 41.57691802)
210512,2021,1/4/2022,Norwalk,22 HILLTOP RD,"1,231,340.00","1,500,000.00",0.8208,Residential,Single Family,,5-84A-184-0,,POINT (-73.424387031 41.075999016)
210289,2021,1/4/2022,Torrington,141 ALVORD PARK RD,"122,790.00","255,000.00",0.4815,Residential,Single Family,07 - Change in Property,FIX AND FLIP,,POINT (-73.102816992 41.820749008)
210171,2021,1/4/2022,Newington,27 STYLES AVE,"145,500.00","295,000.00",0.4932,Residential,Single Family,,,,POINT (-72.744462971 41.683568015)
2100350,2021,1/4/2022,Stratford,2881 BROADBRIDGE AVENUE,"103,110.00","178,500.00",0.5776,Residential,Single Family,,,,POINT (-73.152535005 41.21087398)
210140,2021,1/4/2022,Simsbury,88 HOPMEADOW STREET,"474,360.00","465,000.00",1.0201,Commercial,,,,,POINT (-72.822587002 41.828833018)
21036,2021,1/4/2022,North Stonington,50 STONY BROOK RD,"127,890.00","247,000.00",0.5177,Residential,Single Family,,,,POINT (-71.888379972 41.420342015)
210193,2021,1/4/2022,South Windsor,13 PEACHBROOK DR,"150,400.00","325,000.00",0.4627,Residential,Single Family,,PUD,,POINT (-72.554671873 41.834107582)
2100708,2021,1/4/2022,Stamford,3 HOLLY COVE CIRCLE,"843,090.00","1,100,000.00",0.7664,Residential,Single Family,,TRUSTEE'S DEED,,POINT (-73.504986993 41.05664101)
210238,2021,1/4/2022,Wallingford,2 WHEATFIELD DR,"388,700.00","650,000.00",0.598,Residential,Single Family,,,,POINT (-72.801576002 41.423080005)
2119849,2021,1/4/2022,Redding,20 FIRE HILL LN,"330,400.00","700,000.00",0.472,Residential,Single Family,,,,POINT (-73.458553009 41.31062198)
2100711,2021,1/4/2022,Stamford,94 SOUTHFIELD AVENUE #603,"365,990.00","650,000.00",0.563,Residential,Condo,,,,POINT (-73.546387979 41.037156019)
210691,2021,1/4/2022,Waterbury,21 ARMAND DR #5,"190,300.00","20,000.00",9.515,Residential,Condo,25 - Other,PRIVATE SALE,,POINT (-73.077122016 41.577992999)
210260,2021,1/4/2022,Norwich,390-420 WEST THAMES ST,"965,700.00","1,200,000.00",0.8047,Commercial,,,,,POINT (-72.089266648 41.50555547)
210687,2021,1/4/2022,Waterbury,450 HILL ST #33,"149,940.00","50,000.00",2.9988,Residential,Condo,25 - Other,ASSEMBLAGE,,POINT (-73.033676014 41.574621001)
21152,2021,1/4/2022,Southbury,81 E HERITAGE VILLAGE,"50,830.00","165,000.00",0.308,Residential,Condo,,,,POINT (-73.229912963 41.487627994)
210692,2021,1/4/2022,Waterbury,18 CYNTHIA ST,"83,130.00","295,000.00",0.2817,Residential,Three Family,,,,POINT (-73.059452964 41.552520982)
210696,2021,1/4/2022,Waterbury,35 STEPHANA LANE,"102,910.00","275,000.00",0.3742,Residential,Single Family,,,,POINT (-73.040466026 41.579418006)
21122,2021,1/4/2022,Plainfield,10 GRACE LN,"165,010.00","346,874.00",0.475705876,Residential,Condo,07 - Change in Property,,NEW CONSTRUCTION,POINT (-71.91829 41.68003)
213339,2021,1/4/2022,North Haven,222 ELM ST UNIT-01,"72,730.00","110,000.00",0.6611,Commercial,,,,,POINT (-72.864299669 41.373181441)
210366,2021,1/4/2022,New Haven,311 BLAKE ST,"3,266,375.00","9,200,000.00",0.355,Apartments,,,,,POINT (-72.953724979 41.328305994)
210529,2021,1/4/2022,Southington,19 GREELEY LN,"64,260.00","125,000.00",0.51408,Vacant Land,,,,,POINT (-72.870137036 41.598627987)
210237,2021,1/4/2022,Wallingford,93 PIERSON DR,"163,400.00","230,000.00",0.7104,Residential,Single Family,01 - Family,,,POINT (-72.852584996 41.488738009)
2100712,2021,1/4/2022,Stamford,18 BRANTWOOD LANE,"325,560.00","650,000.00",0.5008,Residential,Single Family,,,,POINT (-73.54413903 41.11643998)
21206,2021,1/4/2022,Newtown,9 BEECHWOOD DRIVE,"35,730.00","5,000.00",7.146,Vacant Land,,06 - Portion of Property,,,POINT (-73.267609027 41.434110611)
21119,2021,1/4/2022,Plainfield,398 MOOSUP POND RD,"115,640.00","257,500.00",0.449,Residential,Single Family,,,,POINT (-71.874613032 41.731969985)
2100707,2021,1/4/2022,Stamford,670 HOPE STREET #2,"231,700.00","457,000.00",0.507,Residential,Condo,,,,POINT (-73.521027022 41.082282006)
210023,2021,1/4/2022,Sterling,177 GIBSON HILL RD,"656,060.00","350,000.00",1.8744,Commercial,,,CAMPGROUND ON 55.19 ACRES,,POINT (-71.800736027 41.709576012)
210514,2021,1/4/2022,Norwalk,297 ELY AVE UNIT A2,"72,230.00","250,000.00",0.2889,Residential,Condo,,5-83-56-A2,,POINT (-73.42761398 41.082356019)
210172,2021,1/4/2022,Newington,184 HUNTERS LN,"147,370.00","268,000.00",0.5498,Residential,Condo,,,,POINT (-72.724761978 41.672977019)
210688,2021,1/4/2022,Waterbury,109 MOUNT CARMEN AVE,"79,360.00","220,000.00",0.3607,Residential,Single Family,25 - Other,ESTATE LIQUIDATION,,POINT (-73.063853967 41.529057017)
210146,2021,1/4/2022,Stonington,49 FELLOWS ST,"170,200.00","400,500.00",0.4249,Residential,Single Family,,,,POINT (-71.841605013 41.369841006)
21151,2021,1/4/2022,Southbury,293 E HERITAGE VILLAGE,"87,120.00","245,000.00",0.3555,Residential,Condo,,,,POINT (-73.228829016 41.477424997)
210093,2021,1/4/2022,Suffield,725 TWO STATES RD,"314,590.00","739,900.00",0.4251,Residential,Single Family,,= ASK PRICE; WATERFRONT,,POINT (-72.755629007 42.03624602)
210693,2021,1/4/2022,Waterbury,198 BRADLEY AVE #6,"30,390.00","70,000.00",0.4341,Residential,Condo,25 - Other,ASSEMBLAGE,,POINT (-73.058239013 41.533796984)
21145,2021,1/4/2022,Ridgefield,57 MAIN ST,"901,650.00","1,700,000.00",0.5303,Residential,Single Family,07 - Change in Property,,,POINT (-73.496789994 41.270470988)
210050,2021,1/4/2022,Old Lyme,148-1 MILE CREEK RD,"275,500.00","735,000.00",0.3748,Residential,Single Family,,,,POINT (-72.290743008 41.30576999)
210513,2021,1/4/2022,Norwalk,3 SIER HILL RD UNIT B4 & GAR U,"161,930.00","292,000.00",0.5545,Residential,Condo,,5-40-28-B4 & 5-40-28-GAR7,,POINT (-73.429602 41.146561984)
21120,2021,1/4/2022,Stafford,324 NEW CITY RD,"51,940.00","85,000.00",0.611,Vacant Land,,25 - Other,EXECUTOR SALE,,POINT (-72.217272973 42.017581684)
210094,2021,1/4/2022,Tolland,26 ANN DRIVE,"102,800.00","199,900.00",0.5142,Residential,Single Family,,,,POINT (-72.421746036 41.853857987)
2100713,2021,1/4/2022,Stamford,25 WINDERMERE LANE,"602,850.00","1,250,000.00",0.4822,Residential,Single Family,,,,POINT (-73.581827001 41.089453982)
21120,2021,1/4/2022,Plainfield,153 PROSPECT ST,"129,530.00","340,000.00",0.3809,Residential,Single Family,,,,POINT (-71.88693401 41.712914985)
210367,2021,1/4/2022,New Haven,896 QUINNIPIAC AVE UNIT 8,"113,680.00","250,000.00",0.4547,Residential,Condo,,,,POINT (-72.881079024 41.312958981)
21088,2021,1/4/2022,Old Saybrook,35 MOHICAN RD,"210,500.00","545,001.00",0.3862,Residential,Single Family,,,,POINT (-72.385637971 41.264452991)
210192,2021,1/4/2022,South Windsor,18 WILDLIFE TRL,"203,200.00","370,000.00",0.5491,Residential,Single Family,,SRD,,POINT (-72.560173586 41.838918418)
210689,2021,1/4/2022,Waterbury,263 PERKINS AVE #4,"25,130.00","65,000.00",0.3866,Residential,Condo,,,,POINT (-73.036584031 41.583685987)
210091,2021,1/4/2022,Rocky Hill,3C BROOKWOOD DRIVE,"59,570.00","120,000.00",0.4964,Residential,Condo,,,,POINT (-72.63302644 41.659349203)
21149,2021,1/4/2022,Southbury,1067 LAKESIDE RD,"132,220.00","247,500.00",0.5342,Residential,Single Family,,,,POINT (-73.228116973 41.434509988)
21207,2021,1/4/2022,Newtown,23 POOTATUCK TRAIL,"93,870.00","229,000.00",0.4099,Residential,Single Family,,,,POINT (-73.265764962 41.429418987)
210018,2021,1/4/2022,Roxbury,PICKETT RD,"162,850.00","40,000.00",4.0712,Residential,Single Family,25 - Other,SALE PRICE EXTREMELY LOW FOR CURRENT MARKET,,POINT (-73.303112442 41.598422907)
2100706,2021,1/4/2022,Stamford,105 HARBOR DRIVE #122,"261,650.00","505,000.00",0.5181,Residential,Condo,,,,POINT (-73.531043983 41.046005004)
210078,2021,1/4/2022,Putnam,104 UNDERWOOD RD #2,"153,873.00","237,500.00",0.6478,Residential,Condo,,,,POINT (-71.924414026 41.915082006)
210515,2021,1/4/2022,Norwalk,95 WARD ST,"212,290.00","177,582.00",1.1954,Residential,Single Family,08 - Part Interest,5-21-188-0,,POINT (-73.414379961 41.127661001)
210236,2021,1/4/2022,Wallingford,14 MARY ANN LN,"179,300.00","344,900.00",0.5198,Residential,Single Family,14 - Foreclosure,,,POINT (-72.809572002 41.438202006)
210110,2021,1/4/2022,Seymour,66 BIRCHWOOD RD,"141,960.00","240,000.00",0.5915,Residential,Single Family,,,,POINT (-73.044503002 41.409834)
2119850,2021,1/4/2022,Redding,659 REDDING RD,"155,600.00","215,000.00",0.7237,Vacant Land,,,,,POINT (-73.423835756 41.32388511)
210051,2021,1/4/2022,Somers,265 STAFFORD RD,"189,800.00","375,000.00",0.5061,Residential,Single Family,,,,POINT (-72.43322698 42.030844009)
210169,2021,1/4/2022,Newington,77 CHURCHILL WAY,"109,520.00","210,000.00",0.5215,Residential,Condo,,,,POINT (-72.717688993 41.675674986)
21028,2021,1/4/2022,Sherman,5 UPLAND PASTURES,"581,600.00","1,500,000.00",0.3877,Residential,Single Family,07 - Change in Property,,,POINT (-73.482762041 41.590719997)
210530,2021,1/4/2022,Southington,109 DUNHAM ST,"134,780.00","260,000.00",0.518384615,Residential,Single Family,,,,POINT (-72.86795003 41.645171983)
210694,2021,1/4/2022,Waterbury,100 MARK LANE #J7,"46,400.00","160,000.00",0.29,Residential,Condo,25 - Other,INCLDS 150 MARK LANE #R2,,POINT (-73.005292962 41.574650002)
210076,2021,1/4/2022,Tolland,218 CIDER MILL,"128,800.00","228,800.00",0.5629,Residential,Single Family,,,,POINT (-72.367830031 41.855158984)
210191,2021,1/4/2022,South Windsor,1510 SULLIVAN AVE,"145,900.00","215,000.00",0.6786,Residential,Single Family,,,,POINT (-72.554381524 41.830003467)
210690,2021,1/4/2022,Waterbury,22 LONSDALE ST,"93,130.00","237,820.00",0.3915,Residential,Single Family,,,,POINT (-73.031796037 41.578780018)
2100709,2021,1/4/2022,Stamford,43 HARBOR DRIVE #505,"381,470.00","633,000.00",0.6026,Residential,Condo,,,,POINT (-73.530062965 41.039550016)
21150,2021,1/4/2022,Southbury,1449 OLD WATERBURY RD #203,"130,140.00","340,000.00",0.3827,Commercial,,,,,POINT (-73.166545021 41.494132016)
210090,2021,1/4/2022,Rocky Hill,1012 MAPLE STREET,"244,230.00","475,000.00",0.5141,Residential,Single Family,,,,POINT (-72.672085991 41.668240992)
213340,2021,1/4/2022,North Haven,61 BROCKETT FARM RD,"249,770.00","434,500.00",0.5748,Residential,Single Family,,,,POINT (-72.832471026 41.34383699)
21029,2021,1/4/2022,Sherman,15 LONG RIVER RD,"586,800.00","765,000.00",0.767,Residential,Single Family,,,,POINT (-73.495779975 41.649967982)
210109,2021,1/4/2022,Seymour,18 TOMLINSON RD,"63,210.00","90,500.00",0.6984,Vacant Land,,25 - Other,ABUTTER SALE,,POINT (-73.118226666 41.356789113)
2100710,2021,1/4/2022,Stamford,87 SAINT CHARLES AVENUE,"216,720.00","400,000.00",0.5418,Residential,Single Family,,,,POINT (-73.524927038 41.085924991)
210027,2021,1/4/2022,Pomfret,87 SEARLES RD,"127,700.00","235,000.00",0.543404255,Residential,Single Family,01 - Family,G0061000,,POINT (-71.931775013 41.842294983)
210089,2021,1/4/2022,Rocky Hill,40 LAKEVIEW AVENUE,"232,190.00","471,000.00",0.4929,Residential,Single Family,,,,POINT (-72.710339992 41.652814016)
210075,2021,1/4/2022,Tolland,67 INDUSTRIAL PARK,"593,400.00","1,000,000.00",0.5934,Commercial,,,INCLUDES TINY VACANT PARCEL,,POINT (-72.420459338 41.860559103)
210170,2021,1/4/2022,Newington,109 BARKLEDGE DR,"205,280.00","353,000.00",0.5815,Residential,Condo,,,,POINT (-72.752036021 41.708871011)
21121,2021,1/4/2022,Plainfield,4 PLEASANT ST,"104,140.00","235,000.00",0.4431,Residential,Single Family,,,,POINT (-71.924630027 41.681397018)
210697,2021,1/4/2022,Waterbury,67 OAKLEAF DR,"82,600.00","210,000.00",0.3933,Residential,Single Family,,,,POINT (-73.061711971 41.537952019)
210106,2021,1/4/2022,Wolcott,47 LEWIS AVE,"135,710.00","275,000.00",0.4934,Residential,Single Family,07 - Change in Property,per MLS more improvements than town records,,POINT (-72.966012011 41.556829992)
21072,2021,1/4/2022,Winchester,47 ORCHARD STREET,"101,080.00","107,000.00",0.9446,Residential,Single Family,14 - Foreclosure,,,POINT (-73.075281015 41.918586018)
210381,2021,1/4/2022,West Hartford,30 OUTLOOK AVENUE #C104,"126,858.00","172,000.00",0.7375,Residential,Condo,25 - Other,ESTATE SALE,,POINT (-72.734580037 41.762347008)
2100181,2021,1/4/2022,Wethersfield,273 FOREST DR,"140,340.00","247,000.00",0.5681,Residential,Single Family,,,,POINT (-72.696616972 41.707122001)
21138,2021,1/4/2022,Watertown,250 LITCHFIELD RD,"243,400.00","240,000.00",1.014166667,Residential,Single Family,14 - Foreclosure,,,POINT (-73.126765011 41.614770988)
210269,2021,1/4/2022,West Haven,188 DAWSON AVE,"145,040.00","310,000.00",0.4678,Residential,Single Family,,,,POINT (-72.970242022 41.250208994)
210073,2021,1/4/2022,Weston,1 BLUEBERRY HILL,"298,600.00","457,975.00",0.652,Residential,Single Family,18 - In Lieu Of Foreclosure,,,POINT (-73.348892989 41.218807996)
210072,2021,1/4/2022,Weston,82 NEWTOWN TURNPIKE,"355,830.00","385,000.00",0.9242,Residential,Single Family,,,,POINT (-73.388983967 41.204611986)
210380,2021,1/4/2022,West Hartford,68 GERTHMERE DRIVE,"175,735.00","325,000.00",0.5407,Residential,Single Family,,,,POINT (-72.754149014 41.722285995)
210098,2021,1/4/2022,Windsor Locks,483 SPRING STREET,"363,510.00","300,000.00",1.2117,Commercial,,,,,POINT (-72.661087007 41.931510997)
210117,2021,1/3/2022,Bloomfield,16 NORTHWOOD DRIVE,"487,060.00","710,000.00",0.686,Industrial,,,,,POINT (-72.705040031 41.849487998)
210385,2021,1/3/2022,Bristol,82 FAIRFIELD ST,"122,780.00","236,000.00",0.5202,Residential,Single Family,,,,POINT (-72.937907992 41.691096011)
21142,2021,1/3/2022,Guilford,234 MULBERRY POINT RD,"177,800.00","449,000.00",0.3959,Residential,Single Family,,,,POINT (-72.689012993 41.266178992)
210095,2021,1/3/2022,East Hampton,51 MAIN ST,"144,670.00","155,000.00",0.9333,Residential,Single Family,01 - Family,ELDERLY TO CONVALESCENT,,POINT (-72.503636979 41.577463011)
210100,2021,1/3/2022,Berlin,45 ROBINDALE DR,"188,200.00","355,000.00",0.5301,Residential,Single Family,,,,POINT (-72.783776025 41.62881801)
210264,2021,1/3/2022,Middletown,399 DEKOVEN DR,"193,570.00","513,000.00",0.377329435,Apartments,,,,,POINT (-72.650434027 41.565542017)
2121095,2021,1/3/2022,Ansonia,7 BERKSHIRE RD,"116,200.00","204,000.00",0.5696,Residential,Single Family,,,,POINT (-73.069039012 41.340064002)
210118,2021,1/3/2022,Avon,571 COUNTRY CLUB ROAD,"232,840.00","300,000.00",0.7761,Residential,Single Family,,,,POINT (-72.884722973 41.789600012)
210120,2021,1/3/2022,Bloomfield,12 SHIBAH WAY,"203,210.00","619,000.00",0.3282,Residential,Condo,,,,POINT (-72.774566483 41.83263674)
210299,2021,1/3/2022,Fairfield,127 ROWLAND ROAD,"506,450.00","1,124,000.00",0.450578292,Residential,Single Family,,,,POINT (-73.251829964 41.138471016)
21000067,2021,1/3/2022,Granby,3 CLEMONS SPRING RD,"340,130.00","585,000.00",0.5814,Residential,Single Family,,,,POINT (-72.860461464 42.006625899)
210063,2021,1/3/2022,Canton,51 SEXTON HOLLOW ROAD,"206,840.00","355,000.00",0.5826,Residential,Single Family,,,,POINT (-72.882878032 41.862334019)
210063,2021,1/3/2022,Essex,74 SAYBROOK RD,"382,000.00","875,000.00",0.436571429,Residential,Single Family,,,,POINT (-72.393547973 41.345196996)
210380,2021,1/3/2022,New Britain,86 MAPLEHURST AVE,"128,170.00","150,000.00",0.8544,Residential,Single Family,,,,POINT (-72.806513027 41.680110982)
210462,2021,1/3/2022,Danbury,1 GROVE PL,"148,700.00","176,000.00",0.8448,Residential,Single Family,14 - Foreclosure,SALE OF FORECLOSURE / I11231,,POINT (-73.445908992 41.409667996)
210343,2021,1/3/2022,Hamden,25 SUNWOODS CR,"141,400.00","241,000.00",0.586721992,Residential,Single Family,,,,POINT (-72.94015099 41.427669014)
210109,2021,1/3/2022,Killingly,70 PEEPTOAD RD,"294,270.00","499,900.00",0.5886,Residential,Single Family,,,,POINT (-71.843140997 41.840719018)
210041,2021,1/3/2022,Easton,30 TUCKAHOE ROAD,"717,850.00","1,107,000.00",0.6484,Residential,Single Family,,,,POINT (-73.249180025 41.242030017)
210379,2021,1/3/2022,Bristol,155 REDSTONE HILL RD #194,"68,950.00","140,000.00",0.4925,Residential,Condo,,,,POINT (-72.908835026 41.659368999)
210122,2021,1/3/2022,New Canaan,60 BOWERY RD,"1,463,350.00","2,850,000.00",0.5134,Residential,Single Family,,,,POINT (-73.525354012 41.188843991)
210127,2021,1/3/2022,Ledyard,1657 ROUTE 12,"3,072,020.00","4,313,773.00",0.7121,Commercial,,,CVS PHARMACY,,POINT (-72.060000027 41.471260002)
210461,2021,1/3/2022,Danbury,136 PEMBROKE R 4-27 & GAR 130,"87,100.00","180,000.00",0.4838,Residential,Condo,25 - Other,2 PARCELS SOLD TOGETHER / G05015-27 & G05015-130,,POINT (-73.474177967 41.443717005)
210678,2021,1/3/2022,Bridgeport,36 MONROE ST #38,"201,600.00","475,000.00",0.4244,Residential,Three Family,,,,POINT (-73.222265985 41.159767001)
210345,2021,1/3/2022,Hamden,1677 STATE ST,"103,390.00","245,000.00",0.422,Residential,Two Family,,,,POINT (-72.897571005 41.328303982)
